item,AssaultRifle,AssaultRifle2,DoubleBarrelShotgun,DoubleBarrelShotgunSawnoff,HuntingRifle,Pistol,Pistol2,Pistol3,Revolver,Revolver_Long,Revolver_Short,Shotgun,ShotgunSawnoff,VarmintRifle
DisplayName,M16 Assault Rifle,M14 Rifle,Double Barrel Shotgun,Sawed-off Double Barrel Shotgun,MSR788 Rifle,M9 Pistol,M1911 Pistol,D-E Pistol,M625 Revolver,Magnum,M36 Revolver,JS-2000 Shotgun,Sawed-off JS-2000 Shotgun,MSR700 Rifle
Icon,AssaultRifle,AssaultRifle2,ShotgunDoublebarrel,ShotgunDoublebarrel,RifleHunting,HandGun3,HandGun2,HandGun,Revolver,RevolverLong,RevolverShort,Shotgun2,Shotgun,LeverActionRifle
DisplayCategory,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon
SubCategory,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm,Firearm
Tags,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;IgnoreZombieDensity;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm,HasMetal;Firearm
Type,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon
WeaponSprite,AssaultRifle,M14,DoubleBarrelShotgun,ShotgunDoubleBarrelSawn,HuntingRifle,Handgun03,Handgun02,Handgun,Revolver,Revolver_Long,Revolver_Short,Shotgun,ShotgunSawnOff,VarmintRifle
AttachmentType,Rifle,Rifle,Rifle,Rifle,Rifle,Holster,Holster,Holster,Holster,Holster,HolsterSmall,Rifle,Rifle,Rifle
IdleAnim,Idle_Weapon2,Idle_Weapon2,,,Idle_Weapon2,,,,,,,,Idle_Weapon2,Idle_Weapon2
RunAnim,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2
SwingAnim,Rifle,Rifle,,,Rifle,Handgun,Handgun,Handgun,Handgun,Handgun,Handgun,,Rifle,Rifle
WeaponReloadType,boltaction,boltaction,doublebarrelshotgun,doublebarrelshotgunsawn,boltactionnomag,handgun,handgun,handgun,revolver,revolver,revolver,shotgun,shotgun,boltactionnomag
TwoHandWeapon,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE
RequiresEquippedBothHands,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE
AmmoBox,556Box,308Box,ShotgunShellsBox,ShotgunShellsBox,308Box,Bullets9mmBox,Bullets45Box,Bullets44Box,Bullets45Box,Bullets44Box,Bullets38Box,ShotgunShellsBox,ShotgunShellsBox,223Box
AmmoType,Base.556Bullets,Base.308Bullets,Base.ShotgunShells,Base.ShotgunShells,Base.308Bullets,Base.Bullets9mm,Base.Bullets45,Base.Bullets44,Base.Bullets45,Base.Bullets44,Base.Bullets38,Base.ShotgunShells,Base.ShotgunShells,Base.223Bullets
MagazineType,Base.556Clip,Base.M14Clip,,,,Base.9mmClip,Base.45Clip,Base.44Clip,,,,,,
ClipSize,,20,,,,15,15,15,15,15,,,6,
MaxAmmo,30,20,2,2,3,15,7,8,6,6,5,6,6,3
FireMode,Auto,Single,,,,,,,,,,,,
FireModePossibilities,Auto/Single,,,,,,,,,,,,,
HaveChamber,,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,,,
InsertAllBulletsReload,,,TRUE,TRUE,,,,,,,,,,
ManuallyRemoveSpentRounds,,,,,,,,,TRUE,TRUE,TRUE,,,
RackAfterShoot,,,FALSE,FALSE,TRUE,,,,,,,TRUE,TRUE,TRUE
AimingPerkCritModifier,6,6,6,6,6,6,6,6,6,6,6,10,6,6
AimingPerkHitChanceModifier,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AimingPerkMinAngleModifier,0.01,0.01,,,0.01,0.05,0.05,0.05,0.05,0.05,0.05,,,0.01
AimingPerkRangeModifier,0,0,,,0,0,0,0,0,0,0,,,0
AimingTime,40,50,40,30,60,25,25,25,25,25,25,40,35,50
ConditionLowerChanceOneIn,200,200,200,200,200,200,200,200,200,200,200,200,200,200
ConditionMax,10,10,10,10,10,10,10,10,10,10,10,10,10,10
CritDmgMultiplier,4,4,12,8,4,4,4,4,4,4,4,12,10,4
CriticalChance,20,30,70,50,30,20,20,20,20,20,20,70,50,20
DoorDamage,5,5,30,30,5,5,5,5,5,5,5,30,30,5
HitChance,50,50,65,70,50,50,50,50,50,50,50,65,70,50
ToHitModifier,1.5,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,2.5,1.5
IsAimedFirearm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JamGunChance,1,1,0,0,1,1,1,1,0,0,0,2,2,1
KnockBackOnNoDeath,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KnockdownMod,4,2,8,8,2,2,2,2,2,2,2,8,8,2
MaxDamage,1.6,2,2.2,1.8,2,1,1.2,1.6,1.2,1.6,0.8,2.2,2.0,1.6
MinDamage,1.0,1.2,1.5,1.2,1.2,0.6,0.9,1,0.9,1,0.5,1.5,1.3,1.0
MaxHitCount,2,1,9,9,1,1,1,1,1,1,1,9,9,1
MaxRange,30,40,15,8,40,15,12,17,12,18,8,12,10,30
MinRange,0.61,0.61,0.67,0.67,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
MaxSightRange,10,10,9,3,10,6,6,6,6,6.5,5,8,3,10
MinSightRange,2,2,3,3,2,2,2,2,2,2,2,3,3,2
MetalValue,45,45,45,45,45,30,30,30,30,30,30,45,35,45
AngleFalloff,,,TRUE,TRUE,,,,,,,,FALSE,TRUE,
MinAngle,0.965,0.95,0.90,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.90,0.9,0.95
MultipleHitConditionAffected,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PiercingBullets,TRUE,,FALSE,FALSE,TRUE,,,,,,,FALSE,FALSE,TRUE
ProjectileCount,1,1,9,9,1,1,1,1,1,1,1,9,9,1
PushBackMod,0.3,0.3,0.8,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.9,0.3
