item,Banjo,BaseballBat,BaseballBat_Can,BaseballBat_GardenForkHead,BaseballBat_Metal,BaseballBat_Metal_Bolts,BaseballBat_Nails,BaseballBat_RakeHead,BaseballBat_ScrapSheet,BaseballBat_Spiked,BoltCutters,Broom,Broom_BarbedWire,BucketMace_Metal,BucketMace_Wood,CanoePadel,CanoePadelX2,CanoePadelX2_Broken,CraftedFishingRod,Crowbar,CrowbarForged,FieldHockeyStick,FieldHockeyStick_Nails,FishingRod,FishingRodBreak,Gaffhook,GardenHoe,GardenHoeForged,Golfclub,GuitarAcoustic,IceHockeyStick,IceHockeyStick_BarbedWire,IronBar,JawboneBovide_Morningstar,KettleMace_Metal,KettleMace_Wood,LaCrosseStick,LeafRake,LongHandle,LongHandle_Can,LongHandle_Nails,LongHandle_RakeHead,LongMace,LongSpikedClub,LongStick,Mop,Morningstar_Scrap,Plank,Plank_Nails,Plank_Saw,Poolcue,Rake,Sapling,ScrapWeaponRakeHead,Shovel,Shovel2,SnowShovel,SpadeForged,SpadeWood,SteelBar,StoneMaul,TableLeg,TableLeg_Chain,TableLeg_Nails,WoodenStick_Can
DisplayName,Banjo,Baseball Bat,Baseball Bat - Can-Reinforced,Baseball Bat - Garden Fork Head,Metal Baseball Bat,Metal Baseball Bat - Bolts,Baseball Bat - Nail-Spiked,Baseball Bat - Rake-Head,Baseball Bat - Sheet Metal,Baseball Bat - Spiked,Bolt Cutters,Broom,Broom - Barbed-Wire,Bucket Maul - Metal Handle,Bucket Maul - Wood Handle,Canoe Paddle,Canoe Paddle - Double-bladed,Broken Canoe Paddle,Fishing Rod,Crowbar,Crowbar,Field Hockey Stick,Field Hockey Stick - Nail-Spiked,Fishing Rod,Fishing Rod without Line,Gaff Hook,Garden Hoe,Garden Hoe,Golf Club,Acoustic Guitar,Ice Hockey Stick,Ice Hockey Stick - Barbed Wire,Iron Bar,Jawbone Morningstar,Kettle Maul - Metal Handle,Kettle Maul - Wood Handle,Lacrosse Stick,Leaf Rake,Long Handle,Long Handle - Can-Reinforced,Long Handle - Nail-Spiked,Long Handle - Rake-Head,Long Mace,Long Spiked Club,Long Stick,Mop,Scrap Metal Morningstar,Plank,Plank - Nail-Spiked,Plank - Saw,Pool Cue,Rake,Sapling,Rake-Head Scrap Metal Weapon,Spade,Shovel,Snow Shovel,Spade,Wooden Spade,Steel Bar,Stone Maul,Antique Table Leg,Antique Table Leg - Chained,Antique Table Leg - Nail-Spiked,Stick - Can-Reinforced
Icon,Banjo,BaseballBat,Bat_Cans,Bat_Fork,Bat_Metal,Bat_Metal_MetalBolts,BaseballBatNails,Bat_Rake,Bat_UnusableMetalScrap,Bat_BasicMace,Boltcutters,Pushbroom,Pushbroom_Barbwire,BucketMace_MetalHandle,BucketMace_WoodHandle,Paddle,PaddleDouble,Paddle_Broken,FishingRod_crafted,,Crowbar_Forged,FieldHockeyStick,FieldHockeyStick_Nails,FishingRod,FishingRodBreak,Gaffhook,,Hoe_Forged,Golfclub,GuitarAcoustic,HockeyStick,HockeyStick_BarbedWire,IronBar_Whole,JawBone_Mace_2Handed,KettleMace_MetalHandle,KettleMace_WoodHandle,LacrosseStick,LeafRake,LongHandle,LongHandle_Cans,LongHandle_Nails,LongHandle_Rake,LongHandle_Mace,LongHandle_BasicMace,Shaft,Mop,SpikyWeapon_Crudepng,Plank,PlankNail,Plank_Saw,Poolcue,Rake,Sapling,ScrapMetal_RakeHead,Shovel,Shovel2,SnowShovel,Shovel_Forged,Spade_Wood,SteelBar_Whole,StoneMaul_Crafted,TableLeg2,TableLeg_Chain,TableLeg_Nails,WoodenStick_Cans
IconColorMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColorBlue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColorGreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColorRed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IconFluidMask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IconsForTexture,,,,,,,,,,,,,,,,,,,,Crowbar;Crowbar_Forged,,,,,,,Hoe;Hoe_Forged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayCategory,InstrumentWeapon,SportsWeapon,SportsWeapon,WeaponCrafted,SportsWeapon,WeaponCrafted,WeaponCrafted,WeaponCrafted,SportsWeapon,WeaponCrafted,ToolWeapon,HouseholdWeapon,Weapon,Weapon,Weapon,SportsWeapon,SportsWeapon,JunkWeapon,FishingWeapon,ToolWeapon,ToolWeapon,SportsWeapon,WeaponCrafted,FishingWeapon,FishingWeapon,FishingWeapon,GardeningWeapon,GardeningWeapon,SportsWeapon,InstrumentWeapon,SportsWeapon,SportsWeapon,MaterialWeapon,WeaponCrafted,Weapon,Weapon,SportsWeapon,GardeningWeapon,MaterialWeapon,WeaponCrafted,WeaponCrafted,WeaponCrafted,Weapon,Weapon,MaterialWeapon,HouseholdWeapon,WeaponCrafted,MaterialWeapon,WeaponCrafted,WeaponCrafted,SportsWeapon,GardeningWeapon,MaterialWeapon,WeaponCrafted,GardeningWeapon,GardeningWeapon,ToolWeapon,GardeningWeapon,GardeningWeapon,MaterialWeapon,WeaponCrafted,JunkWeapon,JunkWeapon,JunkWeapon,WeaponCrafted
Categories,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt,Improvised;Blunt
SubCategory,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging
