item,Axe,AxeStone,Axe_Old,Axe_Sawblade,Axe_ScrapCleaver,BaseballBat_Metal_Sawblade,BaseballBat_RailSpike,BaseballBat_Sawblade,FieldHockeyStick_Sawblade,JawboneBovide_Axe,LongHandle_Railspike,LongHandle_Sawblade,PickAxe,PickAxeForged,ShortBat_Sawblade,StoneAxeLarge,TableLeg_Sawblade
DisplayName,Firefighter Axe,Crude Stone Axe,Axe,Sawblade Axe,Scrap Metal Cleaver-Axe,Metal Baseball Bat - Sawblade,Baseball Bat - Railspike,Baseball Bat - Sawblade,Field Hockey Stick - Sawblade,Jawbone War Axe,Long Handle - Railspike,Long Handle - Sawblade,Pickaxe,Pickaxe,Sawblade Short Bat,Large Stone Axe,Antique Table Leg - Sawblade
Icon,Axe,AxeStone,Axe_2hand,SawWeapon_Crude,LongCleaver_Crude,Bat_Metal_CircularSaw,Bat_Railspikes,Bat_Sawblade,FieldHockeyStick_Saw,JawBone_Axe,MedHandle_Railspikes,MedHandle_Sawblade,,Pickaxe_Forged,ShortHandle_Sawblade,StoneAxe_Crafted,TableLeg_Saw
IconColorMask,,,,,,,,,,,,,,,,,
ColorBlue,,,,,,,,,,,,,,,,,
ColorGreen,,,,,,,,,,,,,,,,,
ColorRed,,,,,,,,,,,,,,,,,
IconFluidMask,,,,,,,,,,,,,,,,,
IconsForTexture,,,,,,,,,,,,,PickAxe;Pickaxe_Forged,,,,
DisplayCategory,ToolWeapon,WeaponCrafted,ToolWeapon,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,WeaponCrafted,ToolWeapon,ToolWeapon,WeaponCrafted,WeaponCrafted,JunkWeapon
Categories,Axe,Axe,Axe,Axe,Axe,Axe,Axe,Axe,Improvised;Axe,Axe,Improvised;Axe,Axe,Axe,Axe,Axe,Axe,Improvised;Axe
SubCategory,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging,Swinging
